representation,n_bags,positive_rate,n_features,split,status,roc_auc,pr_auc,accuracy,eval_seconds,n_excluded_bags,family,anomaly,prevalence,k_hop,n,n_centers,bag_nodes_median,bag_nodes_p90,run_id
size_only,800,0.0512,2,1.0,ok,0.4857,0.076,0.9333,0.39,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
size_only,800,0.0512,2,2.0,ok,0.4951,0.062,0.9375,0.39,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
size_only,800,0.0512,2,3.0,ok,0.4101,0.2616,0.9583,0.39,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
size_only,800,0.0512,2,4.0,ok,0.4856,0.1537,0.9542,0.39,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
size_only,800,0.0512,2,5.0,ok,0.4611,0.1409,0.9333,0.39,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
size_only,800,0.0512,2,6.0,ok,0.513,0.091,0.9458,0.39,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
size_only,800,0.0512,2,7.0,ok,0.6784,0.1611,0.9417,0.39,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
size_only,800,0.0512,2,8.0,ok,0.5879,0.1765,0.95,0.39,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
size_only,800,0.0512,2,9.0,ok,0.6065,0.1636,0.9458,0.39,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
node_oracle,800,0.0512,33,0.0,ok,0.5,0.05,0.95,0.97,0.0,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
node_oracle,800,0.0512,33,1.0,ok,0.8209,0.4114,0.95,0.97,0.0,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
node_oracle,800,0.0512,33,2.0,ok,0.8001,0.3518,0.95,0.97,0.0,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
node_oracle,800,0.0512,33,3.0,ok,0.5,0.05,0.95,0.97,0.0,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
node_oracle,800,0.0512,33,4.0,ok,0.5,0.05,0.95,0.97,0.0,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
node_oracle,800,0.0512,33,5.0,ok,0.5,0.05,0.95,0.97,0.0,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
node_oracle,800,0.0512,33,6.0,ok,0.8275,0.4529,0.95,0.97,0.0,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
node_oracle,800,0.0512,33,7.0,ok,0.5,0.05,0.95,0.97,0.0,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
node_oracle,800,0.0512,33,8.0,ok,0.5,0.05,0.95,0.97,0.0,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
node_oracle,800,0.0512,33,9.0,ok,0.7114,0.4009,0.95,0.97,0.0,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
wasserstein,800,0.55,16,0.0,ok,0.7965,0.8545,0.7375,0.92,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
wasserstein,800,0.55,16,1.0,ok,0.7858,0.8334,0.7167,0.92,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
wasserstein,800,0.55,16,2.0,ok,0.8453,0.8822,0.7625,0.92,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
wasserstein,800,0.55,16,3.0,ok,0.7828,0.8318,0.7042,0.92,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
wasserstein,800,0.55,16,4.0,ok,0.797,0.812,0.7542,0.92,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
wasserstein,800,0.55,16,5.0,ok,0.8493,0.9013,0.7417,0.92,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
wasserstein,800,0.55,16,6.0,ok,0.8089,0.8585,0.7292,0.92,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
wasserstein,800,0.55,16,7.0,ok,0.8124,0.8681,0.7292,0.92,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
wasserstein,800,0.55,16,8.0,ok,0.8292,0.8605,0.7667,0.92,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
wasserstein,800,0.55,16,9.0,ok,0.8114,0.8206,0.7542,0.92,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
pooled_all,800,0.55,99,0.0,ok,0.7747,0.8345,0.6917,3.26,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
pooled_all,800,0.55,99,1.0,ok,0.727,0.781,0.7,3.26,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
pooled_all,800,0.55,99,2.0,ok,0.8151,0.8703,0.75,3.26,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
pooled_all,800,0.55,99,3.0,ok,0.7459,0.8041,0.6833,3.26,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
pooled_all,800,0.55,99,4.0,ok,0.7823,0.8342,0.7208,3.26,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
pooled_all,800,0.55,99,5.0,ok,0.8387,0.8753,0.7542,3.26,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
pooled_all,800,0.55,99,6.0,ok,0.8007,0.8561,0.7333,3.26,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
pooled_all,800,0.55,99,7.0,ok,0.8161,0.8589,0.7417,3.26,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
pooled_all,800,0.55,99,8.0,ok,0.8033,0.8502,0.7583,3.26,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
pooled_all,800,0.55,99,9.0,ok,0.807,0.8215,0.7458,3.26,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
pooled_max,800,0.55,33,0.0,ok,0.7581,0.8219,0.6958,1.41,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
pooled_max,800,0.55,33,1.0,ok,0.7452,0.8058,0.6917,1.41,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
pooled_max,800,0.55,33,2.0,ok,0.8304,0.8741,0.75,1.41,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
pooled_max,800,0.55,33,3.0,ok,0.7506,0.8096,0.7042,1.41,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
pooled_max,800,0.55,33,4.0,ok,0.7722,0.8134,0.7333,1.41,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
pooled_max,800,0.55,33,5.0,ok,0.8439,0.8775,0.7375,1.41,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
pooled_max,800,0.55,33,6.0,ok,0.8117,0.8571,0.7375,1.41,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
pooled_max,800,0.55,33,7.0,ok,0.8208,0.8447,0.75,1.41,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
pooled_max,800,0.55,33,8.0,ok,0.8148,0.8529,0.75,1.41,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
pooled_max,800,0.55,33,9.0,ok,0.8246,0.8605,0.75,1.41,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
size_only,800,0.55,2,0.0,ok,0.771,0.8287,0.6542,0.51,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
size_only,800,0.55,2,1.0,ok,0.7426,0.7953,0.6792,0.51,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
size_only,800,0.55,2,2.0,ok,0.7695,0.8096,0.7125,0.51,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
size_only,800,0.55,2,3.0,ok,0.7242,0.7835,0.675,0.51,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
size_only,800,0.55,2,4.0,ok,0.7481,0.7812,0.6708,0.51,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
size_only,800,0.55,2,5.0,ok,0.7868,0.7967,0.7042,0.51,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
size_only,800,0.55,2,6.0,ok,0.7673,0.8082,0.6875,0.51,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
size_only,800,0.55,2,7.0,ok,0.7368,0.7263,0.675,0.51,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
size_only,800,0.55,2,8.0,ok,0.7625,0.803,0.7,0.51,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
size_only,800,0.55,2,9.0,ok,0.7714,0.7975,0.6958,0.51,,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
node_oracle,800,0.55,33,0.0,ok,0.5,0.55,0.45,0.96,0.0,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
node_oracle,800,0.55,33,1.0,ok,0.5,0.55,0.45,0.96,0.0,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
node_oracle,800,0.55,33,2.0,ok,0.9012,0.9235,0.45,0.96,0.0,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
node_oracle,800,0.55,33,3.0,ok,0.8707,0.9012,0.45,0.96,0.0,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
node_oracle,800,0.55,33,4.0,ok,0.5,0.55,0.45,0.96,0.0,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
node_oracle,800,0.55,33,5.0,ok,0.5,0.55,0.45,0.96,0.0,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
node_oracle,800,0.55,33,6.0,ok,0.5,0.55,0.45,0.96,0.0,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
node_oracle,800,0.55,33,7.0,ok,0.9048,0.9162,0.45,0.96,0.0,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
node_oracle,800,0.55,33,8.0,ok,0.5,0.55,0.45,0.96,0.0,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
node_oracle,800,0.55,33,9.0,ok,0.5,0.55,0.45,0.96,0.0,ba,clique,0.005,2,3000,800,113.0,265.1,ba_clique_p0.005_k2
wasserstein,800,0.0912,16,0.0,ok,0.5417,0.237,0.9,0.48,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
wasserstein,800,0.0912,16,1.0,ok,0.5863,0.2245,0.9125,0.48,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
wasserstein,800,0.0912,16,2.0,ok,0.6083,0.2165,0.9083,0.48,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
wasserstein,800,0.0912,16,3.0,ok,0.7006,0.3638,0.9125,0.48,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
wasserstein,800,0.0912,16,4.0,ok,0.6341,0.2957,0.9083,0.48,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
wasserstein,800,0.0912,16,5.0,ok,0.6104,0.2183,0.8875,0.48,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
wasserstein,800,0.0912,16,6.0,ok,0.6179,0.2818,0.9125,0.48,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
wasserstein,800,0.0912,16,7.0,ok,0.686,0.2833,0.9042,0.48,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
wasserstein,800,0.0912,16,8.0,ok,0.5577,0.2682,0.9083,0.48,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
wasserstein,800,0.0912,16,9.0,ok,0.6914,0.2689,0.9083,0.48,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
pooled_all,800,0.0912,99,0.0,ok,0.4969,0.168,0.9042,1.04,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
pooled_all,800,0.0912,99,1.0,ok,0.5298,0.2068,0.9125,1.04,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
pooled_all,800,0.0912,99,2.0,ok,0.638,0.2868,0.9083,1.04,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
pooled_all,800,0.0912,99,3.0,ok,0.7065,0.3044,0.9125,1.04,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
pooled_all,800,0.0912,99,4.0,ok,0.6822,0.2992,0.9042,1.04,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
pooled_all,800,0.0912,99,5.0,ok,0.6121,0.2008,0.8833,1.04,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
pooled_all,800,0.0912,99,6.0,ok,0.6802,0.3339,0.9208,1.04,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
pooled_all,800,0.0912,99,7.0,ok,0.6962,0.283,0.8958,1.04,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
pooled_all,800,0.0912,99,8.0,ok,0.5946,0.2772,0.9167,1.04,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
pooled_all,800,0.0912,99,9.0,ok,0.7354,0.2426,0.9042,1.04,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
pooled_max,800,0.0912,33,0.0,ok,0.5248,0.2006,0.9042,0.6,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
pooled_max,800,0.0912,33,1.0,ok,0.5737,0.2571,0.9042,0.6,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
pooled_max,800,0.0912,33,2.0,ok,0.6784,0.2787,0.9083,0.6,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
pooled_max,800,0.0912,33,3.0,ok,0.6847,0.2894,0.9083,0.6,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
pooled_max,800,0.0912,33,4.0,ok,0.6889,0.3192,0.9083,0.6,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
pooled_max,800,0.0912,33,5.0,ok,0.6365,0.1931,0.8875,0.6,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
pooled_max,800,0.0912,33,6.0,ok,0.6934,0.3056,0.9167,0.6,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
pooled_max,800,0.0912,33,7.0,ok,0.6916,0.3384,0.9125,0.6,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
pooled_max,800,0.0912,33,8.0,ok,0.5729,0.2494,0.9125,0.6,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
pooled_max,800,0.0912,33,9.0,ok,0.7052,0.2552,0.9,0.6,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
size_only,800,0.0912,2,0.0,ok,0.5443,0.1936,0.9083,0.41,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
size_only,800,0.0912,2,1.0,ok,0.5441,0.3061,0.9083,0.41,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
size_only,800,0.0912,2,2.0,ok,0.5918,0.2927,0.9167,0.41,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
size_only,800,0.0912,2,3.0,ok,0.5927,0.2865,0.9125,0.41,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
size_only,800,0.0912,2,4.0,ok,0.6443,0.2641,0.9125,0.41,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
size_only,800,0.0912,2,5.0,ok,0.6116,0.2232,0.8833,0.41,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
size_only,800,0.0912,2,6.0,ok,0.6406,0.3937,0.925,0.41,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
size_only,800,0.0912,2,7.0,ok,0.6885,0.3477,0.9083,0.41,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
size_only,800,0.0912,2,8.0,ok,0.5525,0.2764,0.9042,0.41,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
size_only,800,0.0912,2,9.0,ok,0.7284,0.335,0.8958,0.41,,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
node_oracle,800,0.0912,33,0.0,ok,0.9208,0.6956,0.95,0.93,0.0,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
node_oracle,800,0.0912,33,1.0,ok,0.8168,0.7241,0.9667,0.93,0.0,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
node_oracle,800,0.0912,33,2.0,ok,0.9672,0.9018,0.9833,0.93,0.0,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
node_oracle,800,0.0912,33,3.0,ok,0.946,0.8805,0.9583,0.93,0.0,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
node_oracle,800,0.0912,33,4.0,ok,0.8295,0.7047,0.9667,0.93,0.0,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
node_oracle,800,0.0912,33,5.0,ok,0.843,0.7046,0.9667,0.93,0.0,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
node_oracle,800,0.0912,33,6.0,ok,0.8886,0.8047,0.9708,0.93,0.0,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
node_oracle,800,0.0912,33,7.0,ok,0.9315,0.777,0.9667,0.93,0.0,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
node_oracle,800,0.0912,33,8.0,ok,0.8761,0.7784,0.9708,0.93,0.0,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
node_oracle,800,0.0912,33,9.0,ok,0.9398,0.8951,0.9833,0.93,0.0,ba,clique,0.01,1,3000,800,7.0,14.0,ba_clique_p0.01_k1
wasserstein,800,0.66,16,0.0,ok,0.8264,0.8923,0.7792,0.83,,ba,clique,0.01,2,3000,800,114.5,266.1,ba_clique_p0.01_k2
wasserstein,800,0.66,16,1.0,ok,0.7671,0.8703,0.7125,0.83,,ba,clique,0.01,2,3000,800,114.5,266.1,ba_clique_p0.01_k2
wasserstein,800,0.66,16,2.0,ok,0.7684,0.8658,0.6958,0.83,,ba,clique,0.01,2,3000,800,114.5,266.1,ba_clique_p0.01_k2
wasserstein,800,0.66,16,3.0,ok,0.7711,0.8707,0.6958,0.83,,ba,clique,0.01,2,3000,800,114.5,266.1,ba_clique_p0.01_k2
wasserstein,800,0.66,16,4.0,ok,0.809,0.8949,0.75,0.83,,ba,clique,0.01,2,3000,800,114.5,266.1,ba_clique_p0.01_k2
wasserstein,800,0.66,16,5.0,ok,0.761,0.8649,0.7333,0.83,,ba,clique,0.01,2,3000,800,114.5,266.1,ba_clique_p0.01_k2
wasserstein,800,0.66,16,6.0,ok,0.785,0.8756,0.7583,0.83,,ba,clique,0.01,2,3000,800,114.5,266.1,ba_clique_p0.01_k2
wasserstein,800,0.66,16,7.0,ok,0.7418,0.8309,0.7208,0.83,,ba,clique,0.01,2,3000,800,114.5,266.1,ba_clique_p0.01_k2
wasserstein,800,0.66,16,8.0,ok,0.7842,0.8784,0.7167,0.83,,ba,clique,0.01,2,3000,800,114.5,266.1,ba_clique_p0.01_k2
wasserstein,800,0.66,16,9.0,ok,0.7116,0.8294,0.6667,0.83,,ba,clique,0.01,2,3000,800,114.5,266.1,ba_clique_p0.01_k2
pooled_all,800,0.66,99,0.0,ok,0.8425,0.9124,0.7792,3.52,,ba,clique,0.01,2,3000,800,114.5,266.1,ba_clique_p0.01_k2
pooled_all,800,0.66,99,1.0,ok,0.7679,0.8787,0.725,3.52,,ba,clique,0.01,2,3000,800,114.5,266.1,ba_clique_p0.01_k2
pooled_all,800,0.66,99,2.0,ok,0.8002,0.8929,0.7208,3.52,,ba,clique,0.01,2,3000,800,114.5,266.1,ba_clique_p0.01_k2
pooled_all,800,0.66,99,3.0,ok,0.7838,0.8771,0.7167,3.52,,ba,clique,0.01,2,3000,800,114.5,266.1,ba_clique_p0.01_k2
pooled_all,800,0.66,99,4.0,ok,0.8211,0.9121,0.7375,3.52,,ba,clique,0.01,2,3000,800,114.5,266.1,ba_clique_p0.01_k2
pooled_all,800,0.66,99,5.0,ok,0.8126,0.8941,0.7208,3.52,,ba,clique,0.01,2,3000,800,114.5,266.1,ba_clique_p0.01_k2
pooled_all,800,0.66,99,6.0,ok,0.7928,0.8871,0.7417,3.52,,ba,clique,0.01,2,3000,800,114.5,266.1,ba_clique_p0.01_k2
pooled_all,800,0.66,99,7.0,ok,0.7502,0.8586,0.7,3.52,,ba,clique,0.01,2,3000,800,114.5,266.1,ba_clique_p0.01_k2
pooled_all,800,0.66,99,8.0,ok,0.8176,0.9056,0.7542,3.52,,ba,clique,0.01,2,3000,800,114.5,266.1,ba_clique_p0.01_k2
pooled_all,800,0.66,99,9.0,ok,0.7758,0.8692,0.7292,3.52,,ba,clique,0.01,2,3000,800,114.5,266.1,ba_clique_p0.01_k2
pooled_max,800,0.66,33,0.0,ok,0.8169,0.8856,0.7542,1.25,,ba,clique,0.01,2,3000,800,114.5,266.1,ba_clique_p0.01_k2
pooled_max,800,0.66,33,1.0,ok,0.7532,0.8658,0.6875,1.25,,ba,clique,0.01,2,3000,800,114.5,266.1,ba_clique_p0.01_k2
